narrator_id,stratum,how_multimodal_score_mean,composure_score_mean,mean_segment_confidence_numeric,technical_gap_ratio,observability_tier,adolescent_exposure_flag,gender,interview_year
12,A_high_discomposure,0.7162,0.2988,,,,0.0,female,1998.0
198,A_high_discomposure,0.7169,0.5248,,,,0.0,female,2005.0
384,A_high_discomposure,0.7889,0.3444,,,,0.0,female,2009.0
765,A_high_discomposure,0.6932,0.3367,,,,0.0,female,2014.0
857,A_high_discomposure,0.7704,0.344,,,,0.0,female,2015.0
960,A_high_discomposure,0.9917,0.9917,,,,0.0,female,2017.0
959,A_high_discomposure,0.9864,0.9864,,,,0.0,female,2019.0
1065,A_high_discomposure,0.6805,0.2607,,,,0.0,male,1994.0
31,A_high_discomposure,0.6853,0.228,,,,0.0,male,1999.0
131,A_high_discomposure,0.7159,0.4654,,,,0.0,male,2002.0
180,A_high_discomposure,0.7557,0.3577,,,,0.0,male,2004.0
703,A_high_discomposure,0.8216,0.404,,,,0.0,male,2004.0
250,A_high_discomposure,0.7154,0.5787,,,,0.0,male,2006.0
378,A_high_discomposure,0.9044,0.3552,,,,0.0,male,2008.0
444,A_high_discomposure,0.7566,0.2832,,,,0.0,male,2009.0
170,A_high_discomposure,0.7809,0.3311,,,,0.0,male,2010.0
494,A_high_discomposure,0.7218,0.3488,,,,0.0,male,2010.0
626,A_high_discomposure,0.74,0.306,,,,0.0,male,2011.0
859,A_high_discomposure,0.7394,0.3216,,,,0.0,male,2015.0
949,A_high_discomposure,0.902,0.8789,,,,0.0,male,2017.0
978,A_high_discomposure,0.7096,0.2771,,,,0.0,male,2021.0
93,A_high_discomposure,0.7039,0.2357,,,,1.0,female,1997.0
257,A_high_discomposure,0.8478,0.205,,,,1.0,female,2006.0
408,A_high_discomposure,0.7218,0.3455,,,,1.0,female,2009.0
538,A_high_discomposure,0.8461,0.407,,,,1.0,female,2010.0
26,B_boundary_uncertain,0.5043,0.5,,,,0.0,female,1997.0
181,B_boundary_uncertain,0.462,0.2479,,,,0.0,female,2004.0
296,B_boundary_uncertain,0.5277,0.225,,,,0.0,female,2008.0
403,B_boundary_uncertain,0.4787,0.32,,,,0.0,female,2009.0
460,B_boundary_uncertain,0.5192,0.3853,,,,0.0,female,2010.0
623,B_boundary_uncertain,0.4898,0.4592,,,,0.0,female,2011.0
754,B_boundary_uncertain,0.4952,0.2885,,,,0.0,female,2013.0
907,B_boundary_uncertain,0.4766,0.35,,,,0.0,female,2019.0
63,B_boundary_uncertain,0.4695,0.374,,,,0.0,male,1998.0
464,B_boundary_uncertain,0.4707,0.175,,,,0.0,male,2000.0
708,B_boundary_uncertain,0.5151,0.3965,,,,0.0,male,2004.0
354,B_boundary_uncertain,0.4668,0.384,,,,0.0,male,2008.0
400,B_boundary_uncertain,0.4563,0.206,,,,0.0,male,2009.0
522,B_boundary_uncertain,0.4946,0.4236,,,,0.0,male,2010.0
616,B_boundary_uncertain,0.5147,0.302,,,,0.0,male,2011.0
658,B_boundary_uncertain,0.5043,0.43,,,,0.0,male,2012.0
898,B_boundary_uncertain,0.4988,0.2675,,,,0.0,male,2018.0
88,B_boundary_uncertain,0.4699,0.382,,,,1.0,female,1997.0
192,B_boundary_uncertain,0.4988,0.424,,,,1.0,female,2004.0
407,B_boundary_uncertain,0.4546,0.3075,,,,1.0,female,2009.0
574,B_boundary_uncertain,0.5008,0.3225,,,,1.0,female,2011.0
806,B_boundary_uncertain,0.4919,0.252,,,,1.0,female,2011.0
1004,B_boundary_uncertain,0.4973,0.32,,,,1.0,female,2022.0
234,B_boundary_uncertain,0.4787,0.2547,,,,1.0,male,2002.0
365,B_boundary_uncertain,0.4944,0.315,,,,1.0,male,2008.0
251,C_tech_poor_flagged,0.6636,0.2973,,0.0,C,0.0,female,2006.0
347,C_tech_poor_flagged,0.6337,0.2867,,0.0,C,0.0,male,2008.0
376,C_tech_poor_flagged,0.7443,0.445,,0.0,C,1.0,female,2008.0
433,C_tech_poor_flagged,0.576,0.4246,,0.0,C,1.0,female,2009.0
588,C_tech_poor_flagged,0.6226,0.3856,,0.0,C,1.0,female,2011.0
726,C_tech_poor_flagged,0.6433,0.4091,,0.0,C,1.0,female,2012.0
728,C_tech_poor_flagged,0.6045,0.2893,,0.0,C,1.0,female,2012.0
729,C_tech_poor_flagged,0.5679,0.3933,,0.0,C,0.0,male,2012.0
771,C_tech_poor_flagged,0.8434,0.2,,0.0,C,1.0,male,2006.0
849,C_tech_poor_flagged,0.6353,0.6329,,0.0,C,1.0,female,2012.0
856,C_tech_poor_flagged,0.709,0.3211,,0.0,C,0.0,female,2015.0
917,C_tech_poor_flagged,0.6012,0.525,,0.0,C,0.0,female,2019.0
928,C_tech_poor_flagged,0.6101,0.3033,,0.0,C,0.0,,2019.0
943,C_tech_poor_flagged,0.9559,0.9559,,0.0,C,0.0,female,2018.0
945,C_tech_poor_flagged,1.0,1.0,,0.0,C,0.0,female,2017.0
950,C_tech_poor_flagged,0.9707,0.9707,,0.0,C,1.0,female,2017.0
955,C_tech_poor_flagged,0.9692,0.9692,,0.0,C,1.0,female,2017.0
956,C_tech_poor_flagged,0.9583,0.9583,,0.0,C,1.0,female,2017.0
958,C_tech_poor_flagged,0.9746,0.9746,,0.0,C,0.0,male,2017.0
